DATAS DAS COLETAS ,P1 - Entrada ETE,Pb - Saída do UASB Entrada do CBR,Pc - Saída do CBR Entrada dos decantadores,Pd - Saída dos decantadores Entrada no sistema de ozonização,P2/P6 - Saída da ETE,P3 - Arroio São João,P4 - Canal coleta esgoto Vila Otacília,P5 - Vertedor do Lago,LAB. ANÁLISES AMBIENTAIS,OBSERVAÇÕES,P7 - Rede Pluvial (Trimestral)
2016-08-03,6.9,7.0,6.7,6.7,6.5,7.1,7.3,6.8,,,
2016-09-08,7.0,7.1,6.8,7.4,7.4,7.2,7.3,7.3,,,
2016-10-05,6.7,7.4,7.6,7.5,7.6,7.2,7.1,8.3,,,6.1
2016-11-03,7.0,7.2,7.3,7.3,7.2,7.2,7.5,8.2,,,
2016-12-07,6.6,6.9,6.3,6.2,6.1,7.1,7.4,9.9,,,
2017-01-04,6.7,7.1,6.9,7.2,7.2,6.9,7.2,9.8,,,7.7
2017-02-01,6.6,7.1,6.0,7.4,7.4,7.1,7.7,7.7,,,
2017-03-01,7.4,7.2,7.3,7.5,7.5,7.4,7.4,9.6,,,
2017-04-05,6.6,7.3,7.6,7.3,7.2,7.4,7.8,7.6,,,4.9
2017-05-03,6.6,,,,6.8,7.0,7.3,7.8,,,
2017-06-07,6.7,7.2,7.6,7.7,7.7,7.3,7.2,7.0,,,
2017-07-07,6.8,7.0,5.7,7.6,7.6,7.3,7.5,7.7,,,8.4
2017-08-02,6.7,,,,6.8,7.1,7.5,8.1,,,
2017-09-06,7.0,7.3,7.9,7.9,7.9,7.3,7.4,7.5,,,
2017-10-04,7.2,7.4,7.9,7.9,7.9,7.2,7.7,9.7,,,8.1
2017-11-01,6.5,7.1,7.4,7.5,7.5,6.9,6.7,7.7,,,
2017-12-06,6.6,,,,6.6,6.9,7.0,8.1,,,
2017-01-04,6.7,7.1,6.9,7.2,7.2,6.9,7.2,9.8,,,7.7
2017-02-01,6.6,7.1,6.0,7.4,7.4,7.1,7.7,7.7,,,
2017-03-01,7.4,7.2,7.3,7.5,7.5,7.4,7.4,9.6,,,
2017-04-05,6.6,7.3,7.6,7.3,7.2,7.4,7.8,7.6,,,4.9
2017-05-03,6.6,,,,6.8,7.0,7.3,7.8,,,
2017-06-07,6.7,7.2,7.6,7.7,7.7,7.3,7.2,7.0,,,
2017-07-07,6.8,7.0,5.7,7.6,7.6,7.3,7.5,7.7,,,8.4
2017-08-02,6.7,,,,6.8,7.1,7.5,8.1,,,
2017-09-06,7.0,7.3,7.9,7.9,7.9,7.3,7.4,7.5,,,
2017-10-04,7.2,7.4,7.9,7.9,7.9,7.2,7.7,9.7,,,8.1
2017-11-01,6.5,7.1,7.4,7.5,7.5,6.9,6.7,7.7,,,
2017-12-06,6.6,,,,6.6,6.9,7.0,8.1,,,
2018-01-24,6.6,6.9,6.3,6.4,6.6,6.9,6.7,7.2,,,
2018-02-15,6.6,7.1,6.6,6.7,6.6,6.8,7.3,7.4,,,6.3
2018-03-07,6.9,,,,7.3,7.4,7.8,7.7,,,
2018-04-04,7.0,,,,7.4,7.4,7.6,8.7,,,6.0
2018-05-02,7.4,,,,7.2,7.5,7.6,9.6,,,
2018-06-06,7.4,,,,7.9,7.9,7.6,8.0,,,
2018-07-04,6.8,6.9,8.0,7.9,7.9,7.2,7.1,7.4,,,6.3
2018-08-01,6.6,,,,6.7,7.0,7.0,7.6,,,
2018-09-05,6.7,7.1,8.3,7.7,7.7,7.2,6.8,7.5,,,
2018-10-03,6.7,7.0,7.2,7.4,7.4,7.2,6.8,7.2,,,6.5
2018-11-07,7.1,7.4,8.11,8.0,8.1,7.5,7.7,8.3,,,
2018-12-05,5.7,6.3,6.3,6.9,6.6,6.1,4.4,7.2,,,
2018-01-24,6.6,6.9,6.3,6.4,6.6,6.9,6.7,7.2,,,
2018-02-15,6.6,7.1,6.6,6.7,6.6,6.8,7.3,7.4,,,6.3
2018-03-07,6.9,,,,7.3,7.4,7.8,7.7,,,
2018-04-04,7.0,,,,7.4,7.4,7.6,8.7,,,6.0
2018-05-02,7.4,,,,7.2,7.5,7.6,9.6,,,
2018-06-06,7.4,,,,7.9,7.9,7.6,8.0,,,
2018-07-04,6.8,6.9,8.0,7.9,7.9,7.2,7.1,7.4,,,6.3
2018-08-01,6.6,,,,6.7,7.0,7.0,7.6,,,
2018-09-05,6.7,7.1,8.3,7.7,7.7,7.2,6.8,7.5,,,
2018-10-03,6.7,7.0,7.2,7.4,7.4,7.2,6.8,7.2,,,6.5
2018-11-07,7.1,7.4,8.11,8.0,8.1,7.5,7.7,8.3,,,
2018-12-05,5.7,6.3,6.3,6.9,6.6,6.1,4.4,7.2,,,
2019-01-02,6.5,,,,13.6,23.8,27.8,18.9,,,14.8
2019-02-06,6.6,,,,7.2,7.1,7.3,8.7,,,
2019-03-08,6.8,,,,6.9,7.1,7.7,8.0,,,
2017-04-03,6.8,,,,6.9,7.3,7.5,7.6,,,7.0
2019-05-03,7.2,,,,7.2,7.4,7.6,7.6,,,
2019-06-05,6.7,,,,6.9,7.2,7.0,7.6,,,
2019-07-03,6.4,,,,6.3,6.6,7.1,7.2,,,7.7
2019-08-07,6.9,,,,7.3,7.2,7.5,7.7,,,
2019-09-04,7.0,,,,7.2,7.2,7.5,7.8,,,
2019-10-02,6.8,,,,6.7,7.0,7.2,8.4,,,7.5
2019-11-06,6.7,6.8,7.2,7.3,6.3,7.0,7.4,7.4,,,
2019-12-04,6.5,6.7,7.1,7.2,6.5,7.0,7.3,7.4,,,
