DATA DA COLETA,P1 - Entrada ETE,P2 / P6 - Saída da ETE,ANAL. AMB.,OBSERVAÇÕES,P7 - Rede Pluvial (trimestral)
2015-06-10,4.7,3.0,x,,
2015-07-07,9.2,3.1,x,Neste dia a coleta foi realizada no P6,5.4
2015-08-12,6.5,4.4,x,,
2015-09-09,7.3,5.3,x,,
2015-10-07,0.63,2.06,x,Neste dia a coleta foi realizada no P6,0.42
2015-11-11,5.7,4.2,x,,
2015-12-09,7.4,5.1,x,,
2015-01-13,2.8,0.4,x,,6.6
2015-02-10,3.3,4.1,x,,
2015-03-10,10.6,7.6,x,Neste dia a coleta foi realizada no P6,
2015-04-07,4.0,3.7,x,,1.2
2015-05-12,6.9,6.0,x,,
2015-06-10,4.7,3.0,x,,
2015-07-07,9.2,3.1,x,Neste dia a coleta foi realizada no P6,5.4
2015-08-12,6.5,4.4,x,,
2015-09-09,7.3,5.3,x,,
2015-10-07,0.63,2.06,x,Neste dia a coleta foi realizada no P6,0.42
2015-11-11,5.7,4.2,x,,
2015-12-09,7.4,5.1,x,,
2016-01-12,8.4,3.2,,,4.5
2016-02-11,3.2,1.7,,,
2016-03-08,9.8,6.4,,,
2016-04-12,6.1,4.8,,,7.7
2016-05-10,7.2,7.7,,,
2016-06-07,8.9,9.2,,,
2016-07-12,1.6,2.5,,,1.9
2016-08-09,2.9,3.4,,,
2016-09-13,1.5,6.5,,,
2016-10-11,5.2,8.7,,,0.19
2016-11-08,4.1,4.8,,,
2016-12-13,5.2,5.6,,,
2016-01-12,8.4,3.2,,,4.5
2016-02-11,3.2,1.7,,,
2016-03-08,9.8,6.4,,,
2016-04-12,6.1,4.8,,,7.7
2016-05-10,7.2,7.7,,,
2016-06-07,8.9,9.2,,,
2016-07-12,1.6,2.5,,,1.9
2016-08-09,2.9,3.4,,,
2016-09-13,1.5,6.5,,,
2016-10-11,5.2,8.7,,,0.19
2016-11-08,4.1,4.8,,,
2016-12-13,5.2,5.6,,,
2017-01-10,0.8,3.1,,,0.9
2017-02-07,2.6,4.5,,,
2017-03-07,12.8,9.1,,,
2017-04-11,5.2,6.9,,,1.9
2017-05-09,11.1,8.0,,,
2017-06-13,2.9,2.6,,,
2017-07-11,4.9,4.7,,,6.5
2017-08-08,5.7,4.4,,,
2017-09-12,8.04,7.7,,,
2017-10-10,5.1,6.0,,,
2017-11-07,5.4,5.3,,,
2017-12-12,0.48,3.47,,,
2017-01-10,0.8,3.1,,,0.9
2017-02-07,2.6,4.5,,,
2017-03-07,12.8,9.1,,,
2017-04-11,5.2,6.9,,,1.9
2017-05-09,11.1,8.0,,,
2017-06-13,2.9,2.6,,,
2017-07-11,4.9,4.7,,,6.5
2017-08-08,5.7,4.4,,,
2017-09-12,8.04,7.7,,,
2017-10-10,5.1,6.0,,,
2017-11-07,5.4,5.3,,,
2017-12-12,0.48,3.47,,,
2018-01-30,1.42,2.17,,,
2018-02-15,1.5,1.3,,,
2018-03-13,4.9,7.1,,,
2018-04-10,4.6,6.6,,,12.7
2018-05-08,5.0,6.2,,,
2018-06-12,1.0,5.8,,,
2018-07-10,0.93,4.2,,,2.1
2018-08-07,3.8,5.6,,,
2018-09-11,4.2,4.7,,,
2018-10-09,3.5,4.4,,,3.8
2018-11-13,5.9,5.03,,,
2018-12-11,3.7,5.8,,,
2018-01-30,1.42,2.17,,,
2018-02-15,1.5,1.3,,,
2018-03-13,4.9,7.1,,,
2018-04-10,4.6,6.6,,,12.7
2018-05-08,5.0,6.2,,,
2018-06-12,1.0,5.8,,,
2018-07-10,0.93,4.2,,,2.1
2018-08-07,3.8,5.6,,,
2018-09-11,4.2,4.7,,,
2018-10-09,3.5,4.4,,,3.8
2018-11-13,5.9,5.03,,,
2018-12-11,3.7,5.8,,,
2019-01-08,1.5,2.9,,,0.7
2019-02-12,1.02,1.6,,,
2019-03-12,1.96,4.79,,,
2019-04-09,4.54,5.1,,,13.21
2019-05-07,2.2,3.9,,,
2019-06-11,2.96,4.44,,,
2019-07-09,3.1,3.5,,,18.2
2019-08-13,2.1,3.2,,,
2019-09-10,3.8,6.6,,,
2019-10-08,2.8,4.4,,,1.6
2019-11-12,3.4,2.9,,,
2019-12-10,5.7,5.0,,,
