DATA DA COLETA,P1 - Entrada ETE,Pb - Saída do UASB Entrada do CBR,Pc - Saída do CBR Entrada dos decantadores,Pd - Saída dos decantadores Entrada no sistema de ozonização,P2 / P6 - Saída da ETE ,P3 - Arroio São João,P4 - Canal coleta esgoto Vila Otacília,P5 - Vertedor do Lago,ANAL. AMB.,OBSERVAÇÕES,P7 - Rede Pluvial (trimestral)
2016-10-11,93.3,29.5,55.8,4.5,18.0,6.4,123.0,74.5,nan,nan,12.8
2016-11-08,107.5,22.0,46.8,10.8,42.1,2.3,121.5,4.0,nan,nan,nan
2016-12-13,72.3,17.7,22.1,8.1,2.2,3.6,92.5,2.7,nan,nan,nan
2016-01-12,130.2,1.6,3.9,3.9,2.1,2.7,19.0,25.9,nan,nan,10.3
2016-02-11,47.5,2.9,4.3,4.3,7.8,7.0,24.8,15.7,nan,nan,nan
2016-03-08,69.8,8.6,1.9,0.6,5.8,9.8,55.5,15.5,nan,nan,nan
2016-04-12,80.3,9.9,6.3,5.6,12.9,12.5,35.3,13.4,nan,nan,40.7
2016-05-10,247.5,nan,nan,nan,10.1,6.3,71.0,2.7,nan,nan,nan
2016-06-07,140.0,16.4,8.8,11.4,16.6,8.4,236.0,14.1,nan,nan,nan
2016-07-12,69.5,41.2,19.7,14.4,12.1,18.4,20.5,17.1,nan,nan,7.7
2016-08-09,54.5,21.0,20.8,5.5,10.5,4.4,54.0,11.4,nan,nan,nan
2016-09-13,185.5,6.6,34.0,14.6,10.7,7.5,77.5,5.2,nan,nan,nan
2016-10-11,93.3,29.5,55.8,4.5,18.0,6.4,123.0,74.5,nan,nan,12.8
2016-11-08,107.5,22.0,46.8,10.8,42.1,2.3,121.5,4.0,nan,nan,nan
2016-12-13,72.3,17.7,22.1,8.1,2.2,3.6,92.5,2.7,nan,nan,nan
2017-01-10,45.8,12.7,14.5,5.4,5.7,10.9,19.8,3.3,nan,nan,5.6
2017-02-07,16.1,10.9,10.9,2.4,3.6,2.5,23.5,11.7,nan,nan,nan
2017-03-07,28.0,nan,nan,nan,26.7,7.8,53.6,17.4,nan,nan,nan
2017-04-11,68.8,20.4,22.0,8.9,66.5,7.3,240.0,49.3,nan,nan,3.7
2017-05-09,103.3,nan,nan,nan,9.8,12.0,272.5,23.6,nan,A coleta neste dia foi realizada no P6. CBR parado.,nan
2017-06-13,29.8,24.9,14.5,10.6,13.5,9.9,40.9,11.6,nan,nan,nan
2017-07-11,71.2,22.4,6.2,62.5,27.8,6.2,312.0,32.9,nan,nan,28.6
2017-08-08,103.7,nan,nan,nan,24.5,62.2,98.5,50.9,nan,A coleta neste dia foi realizada no P6. CBR parado.,nan
2017-09-12,147.3,29.8,88.4,58.0,18.8,36.1,122.3,40.6,nan,nan,nan
2017-10-10,50.9,33.0,23.0,28.4,16.9,20.6,91.5,34.0,nan,nan,6.4
2017-11-07,50.0,333.4,25.9,7.0,282.7,198.5,13.6,8.1,nan,nan,nan
2017-12-12,26.5,nan,nan,nan,19.3,7.3,32.3,25.4,nan,A coleta neste dia foi realizada no P6. CBR parado.,nan
2017-01-10,45.8,12.7,14.5,5.4,5.7,10.9,19.8,3.3,nan,nan,5.6
2017-02-07,16.1,10.9,10.9,2.4,3.6,2.5,23.5,11.7,nan,nan,nan
2017-03-07,28.0,nan,nan,nan,26.7,7.8,53.6,17.4,nan,nan,nan
2017-04-11,68.8,20.4,22.0,8.9,66.5,7.3,240.0,49.3,nan,nan,3.7
2017-05-09,103.3,nan,nan,nan,9.8,12.0,272.5,23.6,nan,A coleta neste dia foi realizada no P6. CBR parado.,nan
2017-06-13,29.8,24.9,14.5,10.6,13.5,9.9,40.9,11.6,nan,nan,nan
2017-07-11,71.2,22.4,6.2,62.5,27.8,6.2,312.0,32.9,nan,nan,28.6
2017-08-08,103.7,nan,nan,nan,24.5,62.2,98.5,50.9,nan,A coleta neste dia foi realizada no P6. CBR parado.,nan
2017-09-12,147.3,29.8,88.4,58.0,18.8,36.1,122.3,40.6,nan,nan,nan
2017-10-10,50.9,33.0,23.0,28.4,16.9,20.6,91.5,34.0,nan,nan,6.4
2017-11-07,50.0,333.4,25.9,7.0,282.7,198.5,13.6,8.1,nan,nan,nan
2017-12-12,26.5,nan,nan,nan,19.3,7.3,32.3,25.4,nan,A coleta neste dia foi realizada no P6. CBR parado.,nan
2018-01-30,4.4,5.7,9.4,8.2,8.8,7.9,8.2,2.5,nan,nan,nan
2018-02-15,28.9,9.8,13.7,12.8,13.1,0.9,15.8,5.6,nan,nan,6.2
2018-03-13,39.1,nan,nan,nan,15.6,6.3,106.7,17.4,nan,nan,nan
2018-04-10,47.3,nan,nan,nan,29.3,5.8,98.9,21.2,nan,nan,12.0
2018-05-08,114.5,nan,nan,nan,9.5,4.2,108.3,8.8,nan,nan,nan
2018-06-12,69.1,nan,nan,nan,21.3,115.7,41.8,32.2,nan,nan,nan
2018-07-10,40.0,32.5,25.4,17.6,23.1,16.5,44.6,13.0,nan,nan,4.3
2018-08-07,75.4,33.8,18.8,191.5,12.2,5.5,38.5,9.0,nan,nan,nan
2018-09-11,78.9,17.5,30.1,9.5,9.8,10.3,80.0,28.9,nan,nan,nan
2018-10-09,22.3,10.3,14.3,5.9,8.2,19.5,17.4,14.6,nan,nan,26.1
2018-11-13,36.0,14.4,19.3,3.2,8.8,7.2,217.0,29.0,nan,nan,nan
2018-12-11,35.6,30.9,3.0,6.2,6.2,56.5,116.0,37.0,nan,nan,nan
2018-01-30,4.4,5.7,9.4,8.2,8.8,7.9,8.2,2.5,nan,nan,nan
2018-02-15,28.9,9.8,13.7,12.8,13.1,0.9,15.8,5.6,nan,nan,6.2
2018-03-13,39.1,nan,nan,nan,15.6,6.3,106.7,17.4,nan,nan,nan
2018-04-10,47.3,nan,nan,nan,29.3,5.8,98.9,21.2,nan,nan,12.0
2018-05-08,114.5,nan,nan,nan,9.5,4.2,108.3,8.8,nan,nan,nan
2018-06-12,69.1,nan,nan,nan,21.3,115.7,41.8,32.2,nan,nan,nan
2018-07-10,40.0,32.5,25.4,17.6,23.1,16.5,44.6,13.0,nan,nan,4.3
2018-08-07,75.4,33.8,18.8,191.5,12.2,5.5,38.5,9.0,nan,nan,nan
2018-09-11,78.9,17.5,30.1,9.5,9.8,10.3,80.0,28.9,nan,nan,nan
2018-10-09,22.3,10.3,14.3,5.9,8.2,19.5,17.4,14.6,nan,nan,26.1
2018-11-13,36.0,14.4,19.3,3.2,8.8,7.2,217.0,29.0,nan,nan,nan
2018-12-11,35.6,30.9,3.0,6.2,6.2,56.5,116.0,37.0,nan,nan,nan
2019-01-08,36.0,nan,nan,nan,6.84,5.3,108.5,9.5,nan,nan,1.4
2019-02-12,12.6,nan,nan,nan,8.8,12.3,119.1,14.3,nan,nan,nan
2019-03-12,19.7,nan,nan,nan,7.2,3.6,135.3,7.6,nan,nan,nan
2013-04-09,44.1,nan,nan,nan,17.0,6.5,107.0,8.1,nan,nan,11.8
2019-05-07,25.6,nan,nan,nan,18.5,6.7,14.4,6.8,nan,nan,nan
2019-06-11,26.5,nan,nan,nan,65.8,1.4,48.5,3.0,nan,nan,nan
2019-07-09,26.7,nan,nan,nan,21.1,22.7,195.5,14.2,nan,nan,11.5
2019-08-13,34.2,nan,nan,nan,13.6,10.6,53.5,13.7,nan,nan,nan
2019-09-10,42.9,nan,nan,nan,16.6,2.6,214.5,8.7,nan,nan,nan
2019-10-08,16.5,nan,nan,nan,11.4,5.1,66.5,2.8,nan,nan,2.3
2019-11-12,29.1,79.9*,11.8,8.4,11.4,4.6,38.0,3.9,nan,nan,nan
2019-12-10,146.5,15.4,10.7,6.7,9.8,4.2,89.5,3.3,nan,nan,nan
